,Value
1245,Nokia 1616
1246,Nokia 1800
1247,Nokia 1 Plus
1248,Nokia 2
1249,Nokia 201
1250,Nokia 210
1251,Nokia 216 Dual
1252,Nokia 2220 Slide
1253,Nokia 230
1254,Nokia 2630
1255,Nokia 2690
1256,Nokia 2720
1257,Nokia 2730 classic
1258,Nokia 2760
1259,Nokia 3
1260,Nokia 3.1
1261,Nokia 3.2
1262,Nokia 301
1263,Nokia 3109
1264,Nokia 3110
1265,Nokia 3210
1266,Nokia 3310
1267,Nokia 3510
1268,Nokia 3710
1269,Nokia 3720 Classic
1270,Nokia 4.2
1271,Nokia 5
1272,Nokia 5.1
1273,Nokia 5.1 Plus
1274,Nokia 500
1275,Nokia 5140
1276,Nokia 5200
1277,Nokia 5210
1278,Nokia 5230
1279,Nokia 5530
1280,Nokia 5800
1281,Nokia 5800 XpressMusic
1282,Nokia 6
1283,Nokia 6.1
1284,Nokia 6020
1285,Nokia 6021
1286,Nokia 6070
1287,Nokia 6111
1288,Nokia 6131
1289,Nokia 6210
1290,Nokia 6220 Classic
1291,Nokia 6230i
1292,Nokia 6233
1293,Nokia 6267
1294,Nokia 6288
1295,Nokia 6300
1296,Nokia 6303c
1297,Nokia 6303i classic
1298,Nokia 6310
1299,Nokia 6310i
1300,Nokia 6500 classic
1301,Nokia 6500 slide
1302,Nokia 6555
1303,Nokia 6600
1304,Nokia 6600 fold
1305,Nokia 6700 classic
1306,Nokia 6700 slide
1307,Nokia 6790 Surge
1308,Nokia 7
1309,Nokia 7.1
1310,Nokia 700
1311,Nokia 701
1312,Nokia 7110
1313,Nokia 7230
1314,Nokia 7610
1315,Nokia 7 Plus
1316,Nokia 8
1317,Nokia 808
1318,Nokia 8110
1319,Nokia 8210
1320,Nokia 8600
1321,Nokia 8800
1322,Nokia 8800 Arte
1323,Nokia 8800 Sirocco
1324,Nokia 8810
1325,Nokia 8850
1326,Nokia 8910
1327,Nokia 8910i
1328,Nokia 8 Sirocco
1329,Nokia 9
1330,Nokia 9210
1331,Nokia 9300
1332,Nokia 9500
1333,Nokia Asha 201
1334,Nokia Asha 300
1335,Nokia Asha 302
1336,Nokia Asha 303
1337,Nokia Asha 311
1338,Nokia C1-01
1339,Nokia C1-02
1340,Nokia C2-00
1341,Nokia C2-01
1342,Nokia C2-02
1343,Nokia C2-05
1344,Nokia C3-00
1345,Nokia C3-01
1346,Nokia C3-01i
1347,Nokia C5-00 5MP
1348,Nokia C5-03
1349,Nokia C6-00
1350,Nokia C6-01
1351,Nokia C7-00
1352,Nokia E50
1353,Nokia E5-00
1354,Nokia E51
1355,Nokia E52
1356,Nokia E6-00
1357,Nokia E65
1358,Nokia E66
1359,Nokia E7
1360,Nokia E71
1361,Nokia E72
1362,Nokia E75
1363,Nokia E90
1364,Nokia E90 Communicator
1365,Nokia Lumia 1020
1366,Nokia Lumia 1320
1367,Nokia Lumia 1520
1368,Nokia Lumia 2520
1369,Nokia Lumia 505
1370,Nokia Lumia 510
1371,Nokia Lumia 520
1372,Nokia Lumia 521
1373,Nokia Lumia 525
1374,Nokia Lumia 530
1375,Nokia Lumia 535
1376,Nokia Lumia 610
1377,Nokia Lumia 620
1378,Nokia Lumia 625
1379,Nokia Lumia 630
1380,Nokia Lumia 635
1381,Nokia Lumia 636
1382,Nokia Lumia 638
1383,Nokia Lumia 640
1384,Nokia Lumia 650
1385,Nokia Lumia 710
1386,Nokia Lumia 720
1387,Nokia Lumia 730
1388,Nokia Lumia 735
1389,Nokia Lumia 800
1390,Nokia Lumia 810
1391,Nokia Lumia 820
1392,Nokia Lumia 822
1393,Nokia Lumia 830
1394,Nokia Lumia 900
1395,Nokia Lumia 920
1396,Nokia Lumia 925
1397,Nokia Lumia 928
1398,Nokia Lumia 930
1399,Nokia Lumia Icon
1400,Nokia N76
1401,Nokia N79
1402,Nokia N8
1403,Nokia N86 8MP
1404,Nokia N9
1405,Nokia N90
1406,Nokia N900
1407,Nokia N91
1408,Nokia N92
1409,Nokia N95
1410,Nokia N97
1411,Nokia N-Gage
1412,Nokia X2-00
1413,Nokia X3-00
1414,Nokia X3-02
1415,Nokia X6
1416,Nokia X7
1417,OnePlus 2
1418,OnePlus 3
1419,OnePlus 3T
1420,OnePlus 5
1421,OnePlus 5T
1422,OnePlus 6
1423,OnePlus 6T
1424,OnePlus 6T McLaren
1425,OnePlus One
1426,OnePlus X
1427,Oppo A73
1428,Oppo F1
1429,Oppo Find 5
1430,Oppo Find 7
1431,Oppo Find X
1432,Oppo R15 Pro
1433,Oppo R5
1434,Oppo R7
1435,Oppo R9
1436,Orange San Diego
1437,Orange San Francisco
1438,Orange SPV M3100
1439,Orbic Slim
1440,Oukitel K10000
1441,Oukitel K4000
1442,Oukitel K4000 Pro
1443,Oukitel K6
1444,Oukitel K6000
1445,Oukitel K6000 Pro
1446,Oukitel U7 Pro
1447,Palm Pre
1448,Palm Treo 750
1449,Palm Treo Pro
1450,Panasonic Eluga
1451,Panasonic VS-100
1452,Pantech Burst
1453,Pantech Discover
1454,Pantech Flex
1455,Pantech Pursuit II (P6010)
1456,Razer Phone 2
1457,RCA M1
1458,RED HYDROGEN One
1459,Samsung A737
1460,Samsung A800
1461,Samsung A867 Eternity
1462,Samsung Ativ S
1463,Samsung B2100
1464,Samsung B2710
1465,Samsung Brightside
1466,Samsung C3050
1467,Samsung C3212
1468,Samsung C3300
1469,Samsung C3350
1470,Samsung Ch@t 222
1471,Samsung Ch@t 335
1472,Samsung Continuum
1473,Samsung Convoy
1474,Samsung Convoy 2
1475,Samsung Convoy 3
1476,Samsung D900
1477,Samsung Diva
1478,Samsung E1080
1479,Samsung E1150
1480,Samsung E1190
1481,Samsung E2121
1482,Samsung E2121B
1483,Samsung E2152
1484,Samsung E250
1485,Samsung E2550 Monte Slide
1486,Samsung E2600
1487,Samsung F480
1488,Samsung Focus
1489,Samsung Focus 2
1490,Samsung Galaxy A3
1491,Samsung Galaxy A3 (2016)
1492,Samsung Galaxy A3 (2017)
1493,Samsung Galaxy A5
1494,Samsung Galaxy A5 (2017)
1495,Samsung Galaxy A50
1496,Samsung Galaxy A6
1497,Samsung Galaxy A7
1498,Samsung Galaxy A7 (2017)
1499,Samsung Galaxy A7 (2018)
1500,Samsung Galaxy A8
1501,Samsung Galaxy A8 (2018)
1502,Samsung Galaxy A8+
1503,Samsung Galaxy A9
1504,Samsung Galaxy Ace
1505,Samsung Galaxy Ace 2
1506,Samsung Galaxy Ace 3
1507,Samsung Galaxy Ace 4
1508,Samsung Galaxy Ace Duos
1509,Samsung Galaxy Ace GT
1510,Samsung Galaxy Ace Plus
1511,Samsung Galaxy Ace S5830
1512,Samsung Galaxy Alpha
1513,Samsung Galaxy Amp 2
1514,Samsung Galaxy Amp Prime
1515,Samsung Galaxy Avant
1516,Samsung Galaxy Beam
1517,Samsung Galaxy Centura
1518,Samsung Galaxy Core
1519,Samsung Galaxy Core Prime
1520,Samsung Galaxy Discover
1521,Samsung Galaxy E5
1522,Samsung Galaxy Europa
1523,Samsung Galaxy Exhibit
1524,Samsung Galaxy Express
1525,Samsung Galaxy Express 3
1526,Samsung Galaxy Express Prime
1527,Samsung Galaxy Fame
1528,Samsung Galaxy Fit
1529,Samsung Galaxy Fold
1530,Samsung Galaxy Gio
1531,Samsung Galaxy Grand
1532,Samsung Galaxy Grand Prime
1533,Samsung Galaxy i7500
1534,Samsung Galaxy J
1535,Samsung Galaxy J1
1536,Samsung Galaxy J1 Mini Prime
1537,Samsung Galaxy J2
1538,Samsung Galaxy J3
1539,Samsung Galaxy J3 (2016)
1540,Samsung Galaxy J3 (2017)
1541,Samsung Galaxy J3 (2018)
1542,Samsung Galaxy J3 Achieve (2018)
1543,Samsung Galaxy J3 Aura
1544,Samsung Galaxy J3 Star
1545,Samsung Galaxy J4
1546,Samsung Galaxy J4 Plus Duos
1547,Samsung Galaxy J5
1548,Samsung Galaxy J5 (2016)
1549,Samsung Galaxy J5 (2017)
1550,Samsung Galaxy J6
1551,Samsung Galaxy J7
1552,Samsung Galaxy J7 (2016)
1553,Samsung Galaxy J7 (2017)
1554,Samsung Galaxy J7 (2018)
1555,Samsung Galaxy J7 Plus
1556,Samsung Galaxy J7 Prime
1557,Samsung Galaxy J7 Pro
1558,Samsung Galaxy J7 Sky Pro
1559,Samsung Galaxy J7 Star
1560,Samsung Galaxy J8
1561,Samsung Galaxy K zoom
1562,Samsung Galaxy Light
1563,Samsung Galaxy M20
1564,Samsung Galaxy Mega
1565,Samsung Galaxy Mega 2
1566,Samsung Galaxy Mini
1567,Samsung Galaxy Mini 2
1568,Samsung Galaxy Nexus
1569,Samsung Galaxy Note
1570,Samsung Galaxy Note 3
1571,Samsung Galaxy Note 3 Neo
1572,Samsung Galaxy Note 4
1573,Samsung Galaxy Note5
1574,Samsung Galaxy Note8
1575,Samsung Galaxy Note9
1576,Samsung Galaxy Note Edge
1577,Samsung Galaxy Note II
1578,Samsung Galaxy On5
1579,Samsung Galaxy Pocket
1580,Samsung Galaxy Prevail
1581,Samsung Galaxy Prevail 2
1582,Samsung Galaxy Prevail LTE
1583,Samsung Galaxy Pro
1584,Samsung Galaxy Proclaim
1585,Samsung Galaxy Ring
1586,Samsung Galaxy Rugby Pro
1587,Samsung Galaxy Rush
1588,Samsung Galaxy S
1589,Samsung Galaxy S10
1590,Samsung Galaxy S10+
1591,Samsung Galaxy S10e
1592,Samsung Galaxy S4
1593,Samsung Galaxy S4 Active
1594,Samsung Galaxy S4 LTE
1595,Samsung Galaxy S4 Mini
1596,Samsung Galaxy S4 mini Duos
1597,Samsung Galaxy S4 Zoom
1598,Samsung Galaxy S5
1599,Samsung Galaxy S5 LTE
1600,Samsung Galaxy S5 Mini
1601,Samsung Galaxy S5 Neo
1602,Samsung Galaxy S6
