,LaptopModel
543,Lenovo ThinkPad T410
544,Lenovo ThinkPad T410S
545,Lenovo ThinkPad T420
546,Lenovo ThinkPad T420S
547,Lenovo ThinkPad T430
548,Lenovo ThinkPad T430S
549,Lenovo ThinkPad T431S
550,Lenovo ThinkPad T440
551,Lenovo ThinkPad T440P
552,Lenovo ThinkPad T440S
553,Lenovo ThinkPad T450
554,Lenovo ThinkPad T450S
555,Lenovo ThinkPad T460
556,Lenovo ThinkPad T460S
557,Lenovo ThinkPad T470
558,Lenovo ThinkPad T470P
559,Lenovo ThinkPad T470S
560,Lenovo ThinkPad T480
561,Lenovo ThinkPad T480s
562,Lenovo ThinkPad T500
563,Lenovo ThinkPad T510
564,Lenovo ThinkPad T520
565,Lenovo ThinkPad T530
566,Lenovo ThinkPad T540
567,Lenovo Thinkpad T540p
568,Lenovo ThinkPad T550
569,Lenovo ThinkPad T570
570,Lenovo Thinkpad T580
571,Lenovo ThinkPad T60
572,Lenovo ThinkPad T61
573,Lenovo ThinkPad T61P
574,Lenovo ThinkPad W500
575,Lenovo ThinkPad W510
576,Lenovo ThinkPad W520
577,Lenovo ThinkPad W530
578,Lenovo ThinkPad W540
579,Lenovo ThinkPad W541
580,Lenovo ThinkPad W550s
581,Lenovo ThinkPad X1
582,Lenovo Thinkpad X120E
583,Lenovo ThinkPad X131e
584,Lenovo ThinkPad X140e
585,Lenovo ThinkPad X1 Carbon
586,Lenovo Thinkpad X1 Carbon 6Th Gen
587,Lenovo ThinkPad X1 Extreme
588,Lenovo ThinkPad X1 Yoga
589,Lenovo ThinkPad X200
590,Lenovo ThinkPad X201
591,Lenovo ThinkPad X220
592,Lenovo Thinkpad X220T
593,Lenovo ThinkPad X230
594,Lenovo ThinkPad X240
595,Lenovo ThinkPad X250
596,Lenovo ThinkPad X260
597,Lenovo ThinkPad X270
598,Lenovo ThinkPad X280
599,Lenovo Thinkpad X300
600,Lenovo ThinkPad X301
601,Lenovo ThinkPad X60
602,Lenovo ThinkPad X61
603,Lenovo Thinkpad Yoga 11e
604,Lenovo Thinkpad Yoga 12
605,Lenovo Thinkpad Yoga 260
606,Lenovo Thinkpad Yoga S1
607,Lenovo V130
608,Lenovo V330
609,Lenovo Y50-70
610,Lenovo Y70-70
611,Lenovo Yoga 11S
612,Lenovo Yoga 13
613,Lenovo Yoga 2
614,Lenovo Yoga 2 Pro
615,Lenovo Yoga 370
616,Lenovo Yoga 3 Pro
617,Lenovo Yoga 460
618,Lenovo Yoga 510
619,Lenovo Yoga 710
620,Lenovo Yoga 720
621,Lenovo Yoga 730
622,Lenovo Yoga 910
623,Lenovo Yoga 920
624,Lenovo Yoga A12
625,LG Gram
626,LifeBook T902
627,Medion Akoya E2228T
628,Microsoft Surface Book
629,Microsoft Surface Book 2
630,Microsoft Surface Laptop
631,Microsoft Surface Laptop 2
632,Microsoft Surface Pro
633,Microsoft Surface Pro 6
634,Miix 320
635,Mi Notebook Air
636,MSI GE62 Apache
637,MSI GE Series
638,MSI GP72 Leopard
639,MSI GP Series
640,MSI GS Series
641,MSI GT Serieseries
642,MSI Megabook
643,NEC Versa
644,Nvidia Geforce Gtx 1060
645,Packard Bell EasyNote
646,Panasonic Toughbook CF-18
647,Panasonic Toughbook CF-19
648,Panasonic Toughbook CF-28
649,Panasonic Toughbook CF-29
650,Panasonic Toughbook CF-30
651,Panasonic Toughbook CF-31
652,Panasonic Toughbook CF-52
653,Panasonic Toughbook CF-53
654,Panasonic Toughbook CF-54
655,Panasonic Toughbook CF-74
656,Panasonic Toughbook CF-C1
657,Panasonic Toughbook Cf-C2
658,Panasonic Toughbook H2
659,Precision 7530
660,Razer Blade
661,Razer Blade Pro
